ID,WF_ID,SALARY_MONTH,STARTDATE,ENDDATE,PAID_DAYS,OVERTIME_HOURS,TOTAL_LEAVE_TAKEN_CURRENT_MONTH,LEAVE_CARRY_FORWARD,TOTAL_LEAVE_AVAILABLE,LEAVE_ADJUSTED,LEAVE_BALANCE,LEAVE_DEDUCTION,BASIC_DA,HRA,SPECIAL_ALLOWANCES,ACTUAL_BASIC_DA,ACTUAL_HRA,ACTUAL_SPECIAL_ALLOWANCES,PRODUCTION_INCENTIVE_BONUS,PF,ESI,TDS,SHOP_FLOOR_FINE,OTHER_DEDUCTION,ADVANCE,OVERTIME_WAGES,WORKINGDAY_WAGES,TOTAL_WAGES,TOTAL_WAGES_AFTER_DEDUCTION,EMPLOYER_EPF,EMPLOYER_ESI,ADMIN_CHARGES,EDLI_CHARGES,CREATED_ON,MODE_OF_PAYMENT,PAID_STATUS
9325FBE0-42E0-EB11-A40F-08F1EAEF4310,8A3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,1.00,0.00,26,0,1,1,0,25,10791.00,0.00,289.00,415.00,0.00,11.00,0.00,51.00,3.00,0.00,0.00,0.00,0.00,0.00,426.00,426.00,372.00,51.00,13.85,2.13,2.13,2021-07-09 04:49:12.130,,UnPaid
093C57E7-42E0-EB11-A40F-08F1EAEF4310,8B3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.51,70.82,2,0,1,1,0,1,9634.00,0.00,608.00,9082.00,0.00,573.00,3572.00,1159.00,99.00,0.00,0.00,0.00,0.00,3487.00,9655.00,9655.00,11969.00,1159.00,429.88,48.28,48.28,2021-07-09 04:49:12.863,,UnPaid
0A3C57E7-42E0-EB11-A40F-08F1EAEF4310,8C3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.11,91.43,2,0,1,1,0,1,10791.00,1672.00,0.00,10007.00,1551.00,0.00,5648.00,1201.00,129.00,0.00,0.00,0.00,0.00,5478.00,11558.00,11558.00,15876.00,1201.00,559.20,50.04,50.04,2021-07-09 04:49:13.660,,UnPaid
0B3C57E7-42E0-EB11-A40F-08F1EAEF4310,8D3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,79.45,1,0,1,1,0,0,10791.00,0.00,289.00,10791.00,0.00,289.00,4317.00,1330.00,115.00,0.00,0.00,0.00,0.00,4232.00,11080.00,11080.00,13952.00,1330.00,500.40,55.40,55.40,2021-07-09 04:49:14.457,,UnPaid
0C3C57E7-42E0-EB11-A40F-08F1EAEF4310,8E3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,104.73,1,0,1,1,0,0,10791.00,1672.00,0.00,10791.00,1672.00,0.00,6445.00,1295.00,142.00,0.00,0.00,0.00,0.00,6275.00,12463.00,12463.00,17471.00,1295.00,614.51,53.96,53.96,2021-07-09 04:49:15.207,,UnPaid
0D3C57E7-42E0-EB11-A40F-08F1EAEF4310,8F3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,23.00,95.50,4,0,1,1,0,3,10791.00,2688.00,0.00,9546.00,2378.00,0.00,6359.00,1146.00,137.00,0.00,0.00,0.00,0.00,6189.00,11924.00,11924.00,17000.00,1146.00,594.20,47.73,47.73,2021-07-09 04:49:15.893,,UnPaid
0E3C57E7-42E0-EB11-A40F-08F1EAEF4310,903655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,23.83,95.00,2,0,1,1,0,1,10791.00,2045.00,0.00,9890.00,1874.00,0.00,6033.00,1187.00,133.00,0.00,0.00,0.00,0.00,5863.00,11764.00,11764.00,16477.00,1187.00,578.40,49.45,49.45,2021-07-09 04:49:16.660,,UnPaid
0F3C57E7-42E0-EB11-A40F-08F1EAEF4310,913655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,115.67,0,1,2,0,2,0,9634.00,0.00,608.00,9634.00,0.00,608.00,5866.00,1229.00,121.00,0.00,0.00,0.00,0.00,5696.00,10242.00,10242.00,14758.00,1229.00,523.51,51.21,51.21,2021-07-09 04:49:17.470,,UnPaid
103C57E7-42E0-EB11-A40F-08F1EAEF4310,923655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.00,93.10,2,0,1,1,0,1,10791.00,1672.00,0.00,10376.00,1608.00,0.00,5663.00,1245.00,132.00,0.00,0.00,0.00,0.00,5578.00,11984.00,11984.00,16270.00,1245.00,573.53,51.88,51.88,2021-07-09 04:49:18.237,,UnPaid
113C57E7-42E0-EB11-A40F-08F1EAEF4310,933655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,1.00,0.00,26,0,1,1,0,25,10791.00,0.00,289.00,415.00,0.00,11.00,0.00,51.00,3.00,0.00,0.00,0.00,0.00,0.00,426.00,426.00,372.00,51.00,13.85,2.13,2.13,2021-07-09 04:49:18.317,,UnPaid
123C57E7-42E0-EB11-A40F-08F1EAEF4310,943655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.47,138.70,1,4,5,1,4,0,10791.00,4316.00,1559.00,10571.00,4228.00,1527.00,11443.00,1452.00,158.00,0.00,0.00,0.00,0.00,11113.00,16326.00,16326.00,26159.00,1452.00,682.50,60.49,60.49,2021-07-09 04:49:19.097,,UnPaid
133C57E7-42E0-EB11-A40F-08F1EAEF4310,953655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,106.85,0,0,1,0,1,0,10791.00,1193.00,0.00,10791.00,1193.00,0.00,6241.00,1295.00,137.00,0.00,0.00,0.00,0.00,6156.00,11984.00,11984.00,16793.00,1295.00,592.31,53.96,53.96,2021-07-09 04:49:19.910,,UnPaid
143C57E7-42E0-EB11-A40F-08F1EAEF4310,963655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,22.45,80.82,4,0,1,1,0,3,9634.00,0.00,608.00,8319.00,0.00,525.00,4065.00,1061.00,97.00,0.00,0.00,0.00,0.00,3980.00,8844.00,8844.00,11751.00,1061.00,419.54,44.22,44.22,2021-07-09 04:49:20.580,,UnPaid
153C57E7-42E0-EB11-A40F-08F1EAEF4310,973655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,116.58,0,3,4,0,4,0,10791.00,3228.00,0.00,10791.00,3228.00,0.00,8027.00,1295.00,158.00,0.00,0.00,0.00,0.00,7857.00,14019.00,14019.00,20593.00,1295.00,682.50,53.96,53.96,2021-07-09 04:49:21.377,,UnPaid
163C57E7-42E0-EB11-A40F-08F1EAEF4310,983655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,91.12,2,3,4,2,2,0,10791.00,1193.00,0.00,10791.00,1193.00,0.00,5250.00,1295.00,129.00,0.00,0.00,0.00,0.00,5250.00,11984.00,11984.00,15810.00,1295.00,560.11,53.96,53.96,2021-07-09 04:49:22.127,,UnPaid
173C57E7-42E0-EB11-A40F-08F1EAEF4310,993655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.85,77.28,3,1,2,2,0,1,10791.00,4316.00,1130.00,10314.00,4125.00,1080.00,6033.00,1367.00,158.00,0.00,0.00,0.00,0.00,6033.00,15519.00,15519.00,20027.00,1367.00,682.50,56.97,56.97,2021-07-09 04:49:22.860,,UnPaid
5679BAED-42E0-EB11-A40F-08F1EAEF4310,9A3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.00,88.40,3,0,1,1,0,2,10791.00,4316.00,536.00,9961.00,3984.00,495.00,6818.00,1255.00,158.00,0.00,0.00,0.00,0.00,6648.00,14440.00,14440.00,19845.00,1255.00,682.50,52.28,52.28,2021-07-09 04:49:23.580,,UnPaid
5779BAED-42E0-EB11-A40F-08F1EAEF4310,9B3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,101.15,1,0,1,1,0,0,9634.00,0.00,214.00,9634.00,0.00,214.00,4959.00,1182.00,111.00,0.00,0.00,0.00,0.00,4789.00,9848.00,9848.00,13514.00,1182.00,481.23,49.24,49.24,2021-07-09 04:49:24.330,,UnPaid
5879BAED-42E0-EB11-A40F-08F1EAEF4310,9C3655F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,20.73,55.93,5,0,1,1,0,4,10791.00,0.00,267.00,8604.00,0.00,213.00,2973.00,1058.00,88.00,0.00,0.00,0.00,0.00,2973.00,8817.00,8817.00,10644.00,1058.00,383.18,44.09,44.09,2021-07-09 04:49:24.987,,UnPaid
5979BAED-42E0-EB11-A40F-08F1EAEF4310,733355F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.47,0.00,0,3,4,0,4,0,8758.00,0.00,0.00,8580.00,0.00,0.00,0.00,1029.00,64.00,0.00,0.00,0.00,0.00,0.00,8580.00,8580.00,7487.00,1029.00,278.85,42.90,42.90,2021-07-09 04:49:27.267,,UnPaid
5A79BAED-42E0-EB11-A40F-08F1EAEF4310,743355F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.46,0.00,1,0,1,1,0,0,9634.00,1020.00,0.00,9434.00,999.00,0.00,0.00,1132.00,78.00,0.00,0.00,0.00,0.00,0.00,10433.00,10433.00,9223.00,1132.00,339.07,47.17,47.17,2021-07-09 04:49:28.030,,UnPaid
5B79BAED-42E0-EB11-A40F-08F1EAEF4310,763355F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,24.98,1.00,2,0,1,1,0,1,8758.00,0.00,348.00,8415.00,0.00,334.00,44.00,1050.00,66.00,0.00,0.00,0.00,0.00,44.00,8749.00,8749.00,7677.00,1050.00,285.77,43.75,43.75,2021-07-09 04:49:28.830,,UnPaid
5C79BAED-42E0-EB11-A40F-08F1EAEF4310,133255F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,61.88,4,5,6,4,2,0,8758.00,0.00,0.00,8758.00,0.00,0.00,2606.00,1051.00,85.00,0.00,0.00,0.00,0.00,2606.00,8758.00,8758.00,10228.00,1051.00,369.33,43.79,43.79,2021-07-09 04:49:29.563,,UnPaid
5D79BAED-42E0-EB11-A40F-08F1EAEF4310,143255F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.22,85.85,0,5,6,0,6,0,8758.00,0.00,0.00,8495.00,0.00,0.00,3615.00,1019.00,91.00,0.00,0.00,0.00,0.00,3615.00,8495.00,8495.00,11000.00,1019.00,393.58,42.48,42.48,2021-07-09 04:49:30.407,,UnPaid
5E79BAED-42E0-EB11-A40F-08F1EAEF4310,153255F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,25.00,101.67,2,0,1,1,0,1,8758.00,0.00,0.00,8421.00,0.00,0.00,4441.00,1011.00,96.00,0.00,0.00,0.00,0.00,4281.00,8421.00,8421.00,11755.00,1011.00,418.02,42.11,42.11,2021-07-09 04:49:31.157,,UnPaid
5F79BAED-42E0-EB11-A40F-08F1EAEF4310,163255F2-74AA-EB11-BF79-A45D3669901F,6,2021-06-01,2021-06-30,26.00,94.58,2,5,6,2,4,0,8758.00,0.00,0.00,8758.00,0.00,0.00,4142.00,1051.00,97.00,0.00,0.00,0.00,0.00,3982.00,8758.00,8758.00,11752.00,1051.00,419.25,43.79,43.79,2021-07-09 04:49:31.907,,UnPaid
